Guideline,ID,XLSM ID,Initial Status,Status,Judge Action,Judge Reason,DOCX Control Requirement,XLSM Control Requirement,Judgment Changed
Data Center and Physical Protection Guideline_v.2.0,1,1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Environmental safeguards must be considered for data center locations.,Environmental safeguards must be considered for data center locations.,False
Data Center and Physical Protection Guideline_v.2.0,1.1,1.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Areas susceptible to flooding and floodplains must be avoided. (ENV01.01),Areas susceptible to flooding and floodplains must be avoided. (ENV01.01),False
Data Center and Physical Protection Guideline_v.2.0,1.10,1.10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Locations must be outside avalanche areas. (ENV10.01),Locations must be outside avalanche areas. (ENV10.01),False
Data Center and Physical Protection Guideline_v.2.0,1.11,1.11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Wildfire hazards must be avoided (ENV11.01),Wildfire hazards must be avoided (ENV11.01),False
Data Center and Physical Protection Guideline_v.2.0,1.2,1.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Production and storage facilities or pipelines which are at risk of explosion must be avoided. (ENV02.01),Production and storage facilities or pipelines which are at risk of explosion must be avoided. (ENV02.01),False
Data Center and Physical Protection Guideline_v.2.0,1.3,1.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Operating and storage facilities with harmful emissions or the release of pollutants must be avoided. (ENV03.01),Operating and storage facilities with harmful emissions or the release of pollutants must be avoided. (ENV03.01),False
Data Center and Physical Protection Guideline_v.2.0,1.4,1.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Sources of electromagnetic interference must be avoided. (ENV04.01),Sources of electromagnetic interference must be avoided. (ENV04.01),False
Data Center and Physical Protection Guideline_v.2.0,1.5,1.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Sources of vibration must be avoided. (ENV05.01),Sources of vibration must be avoided. (ENV05.01),False
Data Center and Physical Protection Guideline_v.2.0,1.6,1.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Transport routes with an increased volume of hazardous materials must be avoided. (ENV06.01, ENV06.01I)","Transport routes with an increased volume of hazardous materials must be avoided. (ENV06.01, ENV06.01I)",False
Data Center and Physical Protection Guideline_v.2.0,1.7,1.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Properties in the neighborhood which are at risk of being attacked must be avoided. (ENV07.01),Properties in the neighborhood which are at risk of being attacked must be avoided. (ENV07.01),False
Data Center and Physical Protection Guideline_v.2.0,1.8,1.8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Locations in the vicinity of major events and access routes leading to them must be avoided. (ENV08.01),Locations in the vicinity of major events and access routes leading to them must be avoided. (ENV08.01),False
Data Center and Physical Protection Guideline_v.2.0,1.9,1.9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Locations must be protected against impairment by structures at risk of collapse. (ENV09.01),Locations must be protected against impairment by structures at risk of collapse. (ENV09.01),False
Data Center and Physical Protection Guideline_v.2.0,10,10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Dual site data centers must comply with the following criteria:,Dual site data centers must comply with the following criteria:,False
Data Center and Physical Protection Guideline_v.2.0,10.1,10.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,The size of the data center IT areas must not differ by more than 1/3. (DDC01.01),The size of the data center IT areas must not differ by more than 1/3. (DDC01.01),False
Data Center and Physical Protection Guideline_v.2.0,10.10,10.10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the CAB area, each data center must fulfil at least level 2. (DDC07.01)","In the CAB area, each data center must fulfil at least level 2. (DDC07.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.11,10.11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the POW area, each data center must fulfil at least level 2. (DDC08.01)","In the POW area, each data center must fulfil at least level 2. (DDC08.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.12,10.12,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,POW01.04: At least one of the two data centers must meet level 3 and thus must have a stationary back-up generator. (DDC08.02),POW01.04: At least one of the two data centers must meet level 3 and thus must have a stationary back-up generator. (DDC08.02),False
Data Center and Physical Protection Guideline_v.2.0,10.13,10.13,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,POW10.xx. At least one of the two data centers must fulfil the generator requirements in level 3 with the stationary back-up generator. (DDC08.03),POW10.xx. At least one of the two data centers must fulfil the generator requirements in level 3 with the stationary back-up generator. (DDC08.03),False
Data Center and Physical Protection Guideline_v.2.0,10.14,10.14,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the ACV area, each data center must fulfil at least level 2. (DDC09.01)","In the ACV area, each data center must fulfil at least level 2. (DDC09.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.15,10.15,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the ORG area, each data center must fulfil at least level 2. (DDC10.01)","In the ORG area, each data center must fulfil at least level 2. (DDC10.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.16,10.16,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the DOC area, each data center must fulfil at least level 3. (DDC11.01)","In the DOC area, each data center must fulfil at least level 3. (DDC11.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.2,10.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"The data centers must be located in separate buildings and supplied separately with WAN connection, electricity, and cooling. (DDC02.01)","The data centers must be located in separate buildings and supplied separately with WAN connection, electricity, and cooling. (DDC02.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.3,10.3,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,DC1 and DC2 must be interconnected via redundant data connection. (DDC03.01),DC1 and DC2 must be interconnected via redundant data connection. (DDC03.01),False
Data Center and Physical Protection Guideline_v.2.0,10.4,10.4,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the CON area, each data center must fulfil at least level 2. (DDC04.01)","In the CON area, each data center must fulfil at least level 2. (DDC04.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.5,10.5,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,CON04.01: Both data centers must fulfil at least level 3. (DDC04.02),CON04.01: Both data centers must fulfil at least level 3. (DDC04.02),False
Data Center and Physical Protection Guideline_v.2.0,10.6,10.6,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,CON04.02: Both data centers must fulfil at least level 3. (DDC04.03),CON04.02: Both data centers must fulfil at least level 3. (DDC04.03),False
Data Center and Physical Protection Guideline_v.2.0,10.7,10.7,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,CON04.05: Each data center must fulfil level 3. (DDC04.05),CON04.05: Each data center must fulfil level 3. (DDC04.05),False
Data Center and Physical Protection Guideline_v.2.0,10.8,10.8,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the FIR area, each data center must fulfil at least level 2. (DDC05.01)","In the FIR area, each data center must fulfil at least level 2. (DDC05.01)",False
Data Center and Physical Protection Guideline_v.2.0,10.9,10.9,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In the SEC area, each data center must fulfil at least level 3. (DDC06.01)","In the SEC area, each data center must fulfil at least level 3. (DDC06.01)",False
Data Center and Physical Protection Guideline_v.2.0,11,11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that physical security perimeters and zone concepts are in place.,It must be ensured that physical security perimeters and zone concepts are in place.,False
Data Center and Physical Protection Guideline_v.2.0,11.1,11.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Physical security perimeters must be defined and used following a risk-based approach.,Physical security perimeters must be defined and used following a risk-based approach.,False
Data Center and Physical Protection Guideline_v.2.0,11.2,11.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Physical security perimeters and zone concepts must be implemented, maintained, reviewed, and regularly tested following a risk-based approach to ensure separation and monitored transitions between the zones.","Physical security perimeters and zone concepts must be implemented, maintained, reviewed, and regularly tested following a risk-based approach to ensure separation and monitored transitions between the zones.",False
Data Center and Physical Protection Guideline_v.2.0,12,12,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that physical security risk assessments are performed appropriately.,It must be ensured that physical security risk assessments are performed appropriately.,False
Data Center and Physical Protection Guideline_v.2.0,12.1,12.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Periodic physical security risk assessments must be carried out at least annually , follow relevant control requirements outlined in the ICT Risk Management Guideline, and additionally consider changes regarding local topography (natural hazards), urban threats (crime, civil unrest, terrorism) and general risks.","Periodic physical security risk assessments must be carried out at least annually, follow relevant control requirements outlined in the ICT Risk Management Guideline, and additionally consider changes regarding local topography (natural hazards), urban threats (crime, civil unrest, terrorism) and general risks.",False
Data Center and Physical Protection Guideline_v.2.0,12.2,12.2,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Prior to selecting a site, possible consequences resulting from the local topography and urban threats must be assessed.","Prior to selecting a site, possible consequences resulting from the local topography and urban threats must be assessed.",False
Data Center and Physical Protection Guideline_v.2.0,13,13,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,It must be ensured that physical security measures for buildings and rooms are defined and in place.,It must be ensured that physical security measures for buildings and rooms are defined and in place.,False
Data Center and Physical Protection Guideline_v.2.0,13.1,13.1,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Physical protection against physical threats and malicious attacks must be designed and applied based on the overall ICT risk profile (including threat landscape) and the classification of the buildings and rooms.,Physical protection against physical threats and malicious attacks must be designed and applied based on the overall ICT risk profile (including threat landscape) and the classification of the buildings and rooms.,False
Data Center and Physical Protection Guideline_v.2.0,13.10,13.10,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"Access to patch panels, network wiring closets/cable rooms must be protected against unauthorized entry.","Access to patch panels, network wiring closets/cable rooms must be protected against unauthorized entry.",False
Data Center and Physical Protection Guideline_v.2.0,13.11,13.11,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Initiation of technical sweeps and physical inspections for unauthorized devices being attached to the cables should be performed considering a risk-based approach.,Initiation of technical sweeps and physical inspections for unauthorized devices being attached to the cables should be performed considering a risk-based approach.,False
Data Center and Physical Protection Guideline_v.2.0,13.12,13.12,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,An up-to-date documented patch list must be used to reduce the possibility of errors.,An up-to-date documented patch list must be used to reduce the possibility of errors.,False
Data Center and Physical Protection Guideline_v.2.0,13.13,13.13,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Clear desk rules for papers and clear screen rules for information processing facilities must be in place.,Clear desk rules for papers and clear screen rules for information processing facilities must be in place.,False
Data Center and Physical Protection Guideline_v.2.0,13.14,13.14,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Buildings and rooms where KRITIS related services are performed must have a security level that meets the KRITIS requirements for high availability.,Buildings and rooms where KRITIS related services are performed must have a security level that meets the KRITIS requirements for high availability.,False
Data Center and Physical Protection Guideline_v.2.0,13.15,13.15,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,Information processing facilities managed by the organization should be physically separated from those managed by external parties.,Information processing facilities managed by the organization should be physically separated from those managed by external parties.,False
Data Center and Physical Protection Guideline_v.2.0,13.16,13.16,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"In multi-tenant buildings, enhanced physical access security must be provided to protect primary and relevant secondary assets from other tenants.","In multi-tenant buildings, enhanced physical access security must be provided to protect primary and relevant secondary assets from other tenants.",False
Data Center and Physical Protection Guideline_v.2.0,13.17,13.17,Match,Match,skipped,Skipped second-pass adjudication because first-pass is an exact match.,"The exterior roof, walls and flooring of the building should be of solid construction.","The exterior roof, walls and flooring of the building should be of solid construction.",False
